id,codine,Total población,Total extranjeros
1,03002,4758,369
2,03003,565,39
3,03004,963,245
4,03005,12279,2370
5,03006,1278,715
6,03007,230,38
7,03008,173,4
8,03009,58994,3705
9,03010,410,21
10,03011,20482,10567
11,03012,2935,1499
12,03013,1336,66
13,03014,334887,45941
14,03015,20803,4686
15,03016,113,12
16,03017,493,41
17,03018,22290,7297
18,03019,20714,1424
19,03001,632,250
20,03020,131,28
21,03021,7068,343
22,03022,151,9
23,03023,1685,83
24,03024,5402,664
25,03025,1942,286
26,03026,2092,466
27,03027,232,35
28,03028,1118,66
29,03030,1095,433
30,03031,68721,19595
31,03032,105,0
32,03033,140,19
33,03029,490,213
34,03034,3322,1595
35,03035,724,33
36,03036,97,2
37,03037,483,90
38,03038,409,35
39,03039,106,13
40,03040,418,110
41,03041,11005,3645
42,03042,4276,2552
43,03043,3671,131
44,03044,6733,1067
45,03045,420,181
46,03046,2978,963
47,03049,19038,3978
48,03048,7373,1330
49,03047,22725,10719
50,03050,28349,4933
51,03051,415,17
52,03052,1220,39
53,03053,10124,1115
54,03054,449,77
55,03075,217,56
56,03055,8639,1961
57,03056,11511,1377
58,03057,187,28
59,03058,7297,1167
60,03059,28952,3487
61,03061,1737,467
62,03062,690,438
63,03063,42166,9141
64,03064,7470,1286
65,03065,232517,24409
66,03066,52618,2679
67,03067,106,6
68,03068,47,5
69,03069,6715,2637
70,03077,2544,931
71,03070,4191,1598
72,03072,452,44
73,03071,6049,1242
74,03073,249,10
75,03074,2580,441
76,03076,15348,4758
77,03078,1198,629
78,03079,23489,1316
79,03080,2022,421
80,03082,27604,11825
81,03083,6865,396
82,03085,935,616
83,03084,578,30
84,03086,237,57
85,03088,8165,892
86,03089,12167,791
87,03903,4968,1798
88,03091,470,195
89,03092,9324,1096
90,03090,25352,2896
91,03093,25651,1899
92,03094,18603,6289
93,03095,6894,1078
94,03096,7507,523
95,03097,2174,949
96,03099,77414,24904
97,03098,736,134
98,03100,929,361
99,03101,7699,1749
100,03102,10128,1548
101,03103,292,20
102,03104,34276,898
103,03902,21905,8573
104,03105,7966,1264
105,03106,693,69
106,03901,2705,1384
107,03107,4965,1479
108,03060,122,10
109,03109,4498,732
110,03110,653,273
111,03111,7869,936
112,03112,1160,435
113,03113,16963,11656
114,03114,2434,548
115,03115,408,125
116,03116,1601,211
117,03118,7855,4954
118,03904,1986,239
119,03120,6034,3091
120,03122,58385,3755
121,03117,667,223
122,03119,23915,2675
123,03121,32306,5511
124,03123,9845,587
125,03124,580,67
126,03125,584,181
127,03127,646,241
128,03128,11112,5823
129,03129,1614,192
130,03130,57,14
131,03131,340,125
132,03132,661,96
133,03133,83337,33207
134,03134,167,11
135,03136,571,120
136,03137,846,119
137,03135,216,13
138,03138,4640,830
139,03139,34673,6824
140,03140,33964,2276
141,03081,2739,953
