codine,Hombres menores de 16 años,Hombres de 16 a 64 años,Hombres de 65 y más años,Mujeres menores de 16 años,Mujeres de 16 a 64 años,Mujeres de 65 y más años
03001,122,6,60,56,126,6
03002,191,27,149,15,181,32
03003,23,2,17,4,23,1
03004,120,10,73,37,120,10
03005,1.159,198,853,108,942,187
03006,357,13,134,210,354,13
03007,15,0,7,8,15,2
03008,5,0,5,0,3,0
03009,1.567,264,1.274,29,1.397,236
03010,14,0,12,2,6,1
03011,5.866,540,3.225,2.101,6.124,555
03012,1.171,44,578,549,1.168,67
03013,48,8,33,7,39,10
03014,20.717,3.214,16.542,961,19.145,2.995
03015,2.256,510,1.498,248,2.061,494
03016,5,0,0,5,7,0
03017,25,4,20,1,24,4
03018,3.822,461,2.455,906,3.819,449
03019,708,112,503,93,687,100
03020,10,0,6,4,9,1
03021,175,36,136,3,133,42
03022,4,2,2,0,6,0
03023,54,14,36,4,47,6
03024,337,60,242,35,332,70
03025,156,9,80,67,160,14
03026,190,19,102,69,211,22
03027,29,3,22,4,17,0
03028,32,10,19,3,39,8
03030,260,23,106,131,284,34
03031,10.634,1.504,7.668,1.462,9.743,1.397
03032,0,0,0,0,1,0
03033,10,0,6,4,10,0
03029,111,4,49,58,112,6
03034,956,72,462,422,954,66
03035,22,0,16,6,24,1
03036,0,0,0,0,2,0
03037,42,4,23,15,43,2
03038,13,0,6,7,20,0
03039,9,2,3,4,8,0
03040,50,7,15,28,57,1
03041,2.196,210,1.169,817,2.200,205
03042,1.507,114,683,710,1.543,115
03043,65,14,44,7,58,13
03044,603,90,410,103,512,88
03045,85,6,49,30,84,6
03046,549,49,242,258,533,43
03049,1.719,505,1.172,42,1.461,428
03048,715,76,586,53,594,94
03047,5.178,545,3.129,1.504,5.053,503
03050,2.214,270,1.381,563,2.376,250
03051,13,4,8,1,13,1
03052,22,6,15,1,16,1
03053,682,62,407,213,643,72
03054,36,6,19,11,29,5
03075,27,0,25,2,26,2
03055,1.081,159,624,298,1.047,146
03056,561,104,416,41,446,107
03057,9,2,6,1,13,1
03058,589,124,448,17,532,131
03059,1.651,412,1.100,139,1.416,397
03061,230,25,104,101,237,30
03062,227,11,116,100,201,9
03063,4.491,563,3.040,888,4.655,489
03064,556,130,330,96,554,134
03065,11.631,2.231,9.038,362,10.486,2.036
03066,1.210,183,990,37,1.167,161
03067,2,0,2,0,1,0
03068,2,0,2,0,8,0
03069,1.256,154,838,264,1.245,167
03077,503,31,244,228,463,13
03070,878,118,538,222,787,89
03072,29,0,17,12,19,1
03071,560,74,349,137,547,90
03073,6,1,3,2,2,0
03074,175,42,132,1,171,41
03076,2.572,299,1.464,809,2.669,296
03078,287,12,116,159,295,13
03079,677,102,557,18,618,99
03080,163,25,89,49,182,22
03082,6.077,640,3.298,2.139,6.165,581
03083,257,47,170,40,233,30
03085,378,16,176,186,399,17
03084,16,1,8,7,21,1
03086,31,0,22,9,26,2
03088,540,44,443,53,345,40
03089,437,53,327,57,413,48
03903,928,96,517,315,925,110
03091,111,5,52,54,117,7
03092,448,91,321,36,400,92
03090,1.287,192,848,247,1.320,175
03093,1.142,189,932,21,938,170
03094,4.158,411,2.387,1.360,4.259,399
03095,489,89,361,39,496,78
03096,265,29,211,25,245,22
03097,509,27,207,275,508,19
03099,15.376,1.594,8.635,5.147,14.899,1.566
03098,148,9,86,53,130,6
03100,209,7,100,102,198,7
03101,801,89,437,275,786,87
03102,846,82,432,332,786,72
03103,26,0,25,1,10,0
03104,445,49,379,17,446,45
03902,4.678,587,2.639,1.452,4.083,497
03105,548,76,355,117,543,70
03106,43,3,27,13,42,2
03901,960,36,363,561,1.016,47
03107,712,101,460,151,620,65
03060,1,0,1,0,2,0
03109,309,97,200,12,321,110
03110,140,7,48,85,144,6
03111,555,139,410,6,411,101
03112,259,17,163,79,285,41
03113,6.553,526,2.806,3.221,6.402,468
03114,258,14,144,100,267,18
03115,69,3,24,42,64,2
03116,110,11,66,33,90,6
03118,3.033,194,1.214,1.625,3.098,190
03904,87,7,65,15,94,10
03120,1.880,181,830,869,1.964,164
03122,1.576,211,1.290,75,1.683,227
03117,114,5,47,62,118,5
03119,1.064,153,811,100,1.195,164
03121,2.885,298,1.707,880,2.715,266
03123,274,30,192,52,270,20
03124,38,4,17,17,32,0
03125,98,15,53,30,88,8
03127,139,13,95,31,114,5
03128,3.148,290,1.485,1.373,3.218,255
03129,121,7,48,66,126,2
03130,1,0,1,0,1,0
03131,59,1,23,35,57,5
03132,73,8,46,19,67,2
03133,19.568,2.406,13.361,3.801,18.275,2.219
03134,6,0,0,6,7,0
03136,63,9,45,9,50,3
03137,46,4,28,14,54,8
03135,10,0,6,4,8,0
03138,427,44,273,110,438,53
03139,3.474,518,2.548,408,3.322,463
03140,1.133,226,861,46,1.022,207
03081,491,40,287,164,487,45
